Model,Mean Accuracy,Mean Recall,Mean F1,Mean False Negative Rate,Std Recall,Std F1,Std False Negative Rate
Classical+TinyQuantumLayer (w=0.2),0.7444444444444445,0.875,0.8164814814814815,0.125,0.2091650066335189,0.11682299931402332,0.2091650066335189
"VQC noisy (q=2, reps=1)",0.6444444444444445,0.7803030303030303,0.7497594997594997,0.21969696969696972,0.2000344322977502,0.1587383027339253,0.20003443229775017
"Hybrid (q=3, reps=1)",0.4944444444444444,0.6174242424242424,0.6037593984962406,0.38257575757575757,0.32218798304519797,0.21146598450851917,0.32218798304519797
"Hybrid (q=2, reps=1)",0.5499999999999999,0.5265151515151515,0.5832359030568749,0.47348484848484845,0.29331979370204536,0.30618194259772397,0.29331979370204536
"VQC noisy (q=3, reps=1)",0.4611111111111111,0.44696969696969696,0.5238328664799253,0.5530303030303031,0.18105902116714737,0.1481602190699193,0.18105902116714734
